Pose_Type,Joint,Min,Max,Mean,Std,Median,Sample_Count
T_Pose,left_elbow,161.79472982929457,190.05945614247784,176.28565717673666,8.981646001625162,174.93626011013518,10
T_Pose,right_elbow,170.26897835530409,202.2967238216427,189.61706007470835,9.892474521530009,191.1254773897095,10
T_Pose,left_shoulder,77.91863765607907,115.36865377412927,93.6462150710064,12.723652894951076,93.52193385896015,10
T_Pose,right_shoulder,60.64474758192788,110.1662163455855,92.13661423600693,14.32330727072299,95.89753312996328,10
T_Pose,left_knee,173.04303436257794,195.39173086154798,182.0059475237828,6.316366450360371,181.46752970847695,10
T_Pose,right_knee,169.2744816795901,183.0360570229397,178.1338347583522,3.786563902136966,178.90742190080033,10
Tree_Pose,left_elbow,147.23767238919814,175.51775903989545,154.68349253238623,10.180763525426313,150.00119800726637,7
Tree_Pose,right_elbow,194.9613084982839,217.17002525467973,205.79234004331167,8.690469425122338,203.78957849485315,7
Tree_Pose,left_shoulder,176.34198753745474,206.10589536749882,184.7552312355524,10.450396151746284,180.60933949665178,7
Tree_Pose,right_shoulder,161.47932190789885,185.12799771397124,173.5199462851254,9.727338955996634,173.78858927612438,7
Tree_Pose,left_knee,179.4678459957664,323.54711340477553,205.04623286080277,52.39710445465587,186.91339775784496,7
Tree_Pose,right_knee,23.839924532264614,182.9489443692305,54.26636532211928,57.175774003863786,35.299519822007944,7
